#{"t_start": 1643291651.848132, "env_id": "threecarlanechangeScenario-v0"}
r,l,t
-500,1,953.093525
207.820772,147,955.393464
287.386362,134,957.111123
208.116378,171,959.306939
64.770303,167,961.45013
-631.640401,200,964.015453
-422.109031,200,966.457355
-431.22529,200,968.903124
-528.956587,12,969.052571
-1086.302034,197,971.563232
6.238968,176,973.798889
288.212823,158,975.78752
255.192427,141,977.441601
249.251477,163,979.154808
257.756596,140,980.991507
-500,1,981.003474
262.893547,157,983.423854
-514.435483,200,986.378628
-97.675897,190,988.752769
21.824639,177,991.046073
-519.225805,200,993.597715
-500,1,993.609655
149.074514,161,995.635531
186.507131,140,997.402807
-842.516568,145,999.213834
147.733193,170,1001.383126
-565.444067,200,1003.958972
218.673165,160,1006.025904
225.160745,169,1008.185149
-408.221852,200,1011.434752
81.59168,159,1013.556062
-678.035628,40,1014.281329
205.390805,157,1016.998271
158.269483,184,1020.114302
147.352051,185,1022.897668
217.037905,144,1025.197912
227.41169,151,1027.156136
-124.612458,181,1029.513349
-601.52989,200,1032.097431
-611.689578,200,1034.764332
99.759118,179,1036.884207
107.279282,180,1039.330559
-500,1,1039.349469
72.076578,190,1041.881405
-929.913579,200,1044.832609
-546.712705,200,1047.564965
61.934544,166,1050.10949
173.505461,150,1052.156073
222.067198,186,1054.549922
143.552568,159,1056.550482
81.530303,174,1058.915087
114.374224,160,1061.201893
-671.994865,200,1064.243446
-346.870113,200,1066.804975
116.780336,190,1069.286016
129.889379,174,1071.522455
121.161342,194,1074.15007
-550.438513,200,1076.737331
-564.73962,200,1079.774007
86.447609,159,1082.331058
174.374764,186,1084.722203
123.875532,165,1086.842444
165.428175,176,1089.083678
-556.073848,18,1089.298574
238.911377,147,1091.177377
248.885411,160,1093.175166
92.00489,159,1095.213078
-616.929925,200,1097.712405
181.047171,152,1099.603644
-500,1,1099.614615
149.438616,190,1102.045812
232.608153,170,1104.093616
156.412645,182,1106.348238
211.044645,154,1108.419893
151.758319,181,1111.008428
-536.373218,200,1114.287908
191.404556,178,1117.288176
177.067339,173,1120.506869
273.408098,162,1123.618637
61.417996,169,1126.721651
220.425795,155,1129.006876
-828.551314,131,1130.932726
-791.944774,99,1132.579778
182.577436,146,1134.742433
221.835521,163,1137.08585
-93.928396,171,1140.320415
-121.321596,177,1142.555239
145.119625,188,1144.951773
-464.948305,200,1147.967323
166.1028,183,1150.749651
-766.850129,200,1153.308608
51.955769,188,1155.681419
236.260536,160,1158.128136
-436.752945,200,1160.540981
163.839939,178,1162.768268
163.625031,169,1164.878062
257.255052,159,1167.21032
258.395267,160,1170.078559
-587.813949,42,1171.000715
-524.447155,200,1173.824349
191.676342,180,1176.24389
159.997715,195,1178.17312
161.558089,181,1180.276285
112.827192,178,1183.982987
186.681632,169,1185.801774
183.091617,167,1187.281528
-91.226451,166,1188.775246
27.898423,162,1190.991936
43.337049,153,1193.196373
-927.457462,163,1195.599542
-37.516541,145,1197.85977
209.814121,172,1200.685313
84.54823,173,1203.064261
107.352866,175,1205.490845
189.323927,151,1207.725454
209.466368,148,1209.886942
263.775177,154,1212.296417
265.603297,143,1214.1064
136.804427,174,1216.497947
245.809314,160,1218.648586
215.968109,168,1221.15163
-730.144112,122,1223.088528
210.773201,160,1225.072308
-884.844187,157,1227.075857
266.229451,149,1229.157728
139.411368,138,1231.304589
77.703706,183,1234.173223
-887.780919,157,1236.642486
245.060482,154,1238.594185
251.178293,167,1240.706187
224.481258,149,1242.626751
250.524365,162,1244.684198
206.572261,168,1246.863984
227.246442,153,1248.812405
237.112805,165,1250.947512
86.733416,181,1253.484157
-521.350549,155,1255.482888
170.646548,176,1257.860947
36.036478,152,1260.03766
229.616132,127,1261.66521
-906.611032,158,1264.077128
266.490275,154,1266.07787
289.305151,153,1267.99111
173.780502,167,1270.091392
180.480105,169,1272.375913
210.739903,143,1274.773703
277.067361,156,1276.846531
167.849637,176,1279.08589
175.827137,157,1281.34816
266.043453,158,1283.540409
219.137484,174,1285.642958
-500,1,1285.654924
233.799179,164,1287.541384
106.991905,165,1290.064322
-854.614292,132,1291.953694
115.910492,175,1294.692799
-927.661399,166,1296.847131
34.564258,146,1299.313641
253.983325,153,1301.703076
173.114027,160,1303.742821
-819.204955,136,1305.525795
156.498532,171,1307.823937
159.757142,182,1310.224244
61.359071,195,1312.828753
266.196212,156,1315.063399
98.457891,127,1316.939989
186.569821,167,1319.855197
216.110887,159,1322.188725
230.591084,157,1324.334915
213.8821,167,1326.957696
-779.183811,124,1328.603381
204.286129,159,1330.831767
-563.301687,25,1331.183634
219.880777,157,1333.761909
-913.938217,170,1336.229193
245.532492,147,1338.124605
243.422029,156,1340.441774
-885.827405,162,1342.561746
-627.662761,200,1345.789151
-500,1,1345.797996
187.002089,169,1348.039625
149.652886,171,1350.606198
335.710466,152,1353.098918
225.647582,165,1355.407209
-787.915682,77,1356.413488
28.60652,184,1359.267711
-866.191219,148,1361.320506
-518.975203,10,1361.474574
-809.029396,200,1364.117376
113.742013,179,1366.623603
-666.598156,69,1367.563739
-18.424248,179,1369.585957
68.39735,177,1371.130916
-509.650196,12,1371.237634
144.072269,170,1372.715971
-758.417302,151,1374.025864
-759.316778,123,1375.287994
94.123563,187,1377.197644
168.61308,165,1378.86454
213.813409,146,1380.305533
242.898078,163,1381.869827
121.128539,169,1383.408574
190.163864,163,1385.037859
153.147699,163,1388.480939
165.860027,165,1391.082221
297.177528,139,1392.918201
202.60555,154,1394.916562
-799.988207,71,1395.833669
16.833933,166,1397.726937
164.327732,168,1399.745514
105.978157,164,1401.849668
128.686221,172,1404.070372
57.684521,170,1406.29616
226.830551,158,1408.784605
280.633782,163,1411.174724
246.470005,142,1413.070043
155.090982,169,1415.348172
-794.789668,124,1417.00774
199.079679,160,1419.245905
108.898168,177,1421.952736
225.775825,166,1424.108638
247.187202,161,1426.276958
200.874328,167,1428.463373
133.1794,154,1430.467458
226.757679,153,1432.446674
196.534327,158,1434.576084
127.988498,179,1436.935588
52.190213,163,1439.137722
-756.765595,147,1441.024799
-873.696605,160,1443.11985
231.546331,160,1445.301277
61.638421,161,1447.424081
252.196013,159,1449.516919
-842.986423,148,1451.451444
264.528971,149,1453.708409
47.874494,163,1455.826907
119.354578,178,1457.891577
-575.913418,35,1458.263795
166.534692,167,1460.259317
262.44698,168,1462.477398
323.730688,142,1464.350932
189.755695,153,1466.4222
141.505777,165,1468.99779
270.540204,161,1471.11946
95.709117,178,1473.452072
-772.347413,149,1475.348384
94.865271,181,1477.700545
-664.961189,77,1478.70008
245.565669,151,1480.730809
163.246866,169,1482.97731
-504.098706,2,1483.000892
181.814107,170,1485.554162
-749.993283,121,1487.136395
-910.081484,169,1489.437124
157.234872,159,1491.525494
127.539213,161,1493.637181
191.189322,143,1495.499472
255.354814,132,1497.253366
221.890009,158,1499.373886
-791.360369,147,1501.300209
188.957899,147,1503.214623
169.819434,152,1505.206536
214.975859,171,1507.418561
243.834388,153,1509.395353
191.766579,152,1511.422617
129.195729,157,1513.570398
244.916765,138,1515.718065
-5.772795,173,1517.588314
247.844282,140,1519.10767
-549.704312,24,1519.434055
-732.499665,120,1521.007135
-500,1,1521.018108
121.753137,156,1523.065993
250.567789,153,1525.094278
-751.335409,121,1526.678182
198.967864,159,1528.735416
194.64879,164,1530.864131
195.193442,165,1533.02062
283.034786,158,1535.020894
168.87507,175,1537.327975
251.499318,151,1539.256115
182.874887,163,1541.389482
237.218827,171,1543.766001
143.970237,155,1545.972531
289.181958,148,1548.33058
259.156994,160,1550.526125
311.672106,144,1552.364609
139.077391,175,1554.705768
162.815439,176,1557.108101
-550.080694,24,1557.419603
23.468921,153,1559.916371
200.201809,151,1561.815398
207.842717,162,1564.030316
298.071276,149,1566.281708
315.948422,146,1568.784588
-756.161101,118,1570.618595
107.778377,155,1572.984704
-817.000268,147,1575.078557
78.457048,175,1577.616746
233.816387,161,1579.884077
199.565613,173,1581.948641
137.590103,184,1583.676541
334.527981,152,1585.059468
