#{"t_start": 1642770742.7957847, "env_id": "twocarlanechangeScenario-v0"}
r,l,t
272.565672,161,1006.762377
318.295943,137,1008.056756
228.334888,160,1009.577689
191.388055,170,1011.142519
310.007845,141,1012.21598
235.008956,153,1013.357744
346.237818,134,1014.506133
305.259185,144,1015.586966
261.960427,144,1016.702217
306.581044,146,1017.834538
326.761566,129,1018.88538
341.513171,137,1019.930087
304.990805,141,1020.988056
265.961897,153,1022.252318
322.125349,127,1023.196585
289.190356,146,1024.28912
265.957322,147,1025.378427
183.149157,167,1026.740815
248.423934,148,1027.845832
318.92666,143,1028.917665
215.732897,164,1030.285859
335.959159,140,1031.318613
293.5931,148,1032.433293
335.069155,146,1033.521014
293.832855,150,1034.759252
299.987202,141,1035.817316
283.662723,140,1036.854315
267.239819,152,1038.10257
175.50147,169,1039.429372
331.746492,148,1040.562815
184.196118,162,1041.797301
331.427696,145,1042.960485
332.165624,144,1044.02732
312.55532,150,1045.151897
359.640564,135,1046.2779
235.226993,170,1047.544281
209.124548,158,1048.717209
251.214221,154,1049.935344
317.251106,143,1051.041413
313.311205,147,1052.139186
342.892974,133,1053.122941
195.146042,160,1054.429024
191.326794,155,1055.584915
371.260759,141,1056.66759
390.959724,131,1057.658985
258.682937,150,1058.887424
310.162705,136,1059.912006
203.903653,163,1061.118875
334.374143,151,1062.36933
184.498692,166,1063.607554
287.872259,144,1064.705485
390.419935,138,1065.726058
328.82728,136,1066.856989
363.382222,141,1068.136221
312.149351,139,1069.455691
344.23094,133,1070.795844
301.781147,156,1071.987248
311.557942,138,1073.009249
335.287737,146,1074.240561
321.098091,149,1075.344056
387.510624,133,1076.338544
298.81266,147,1077.428853
348.225449,146,1078.640923
235.867975,159,1079.834711
267.348524,148,1080.940094
295.71607,153,1082.209232
250.629822,160,1083.397055
354.099414,141,1084.46351
372.948201,132,1085.656656
292.597576,162,1086.892018
281.496109,156,1088.167641
176.067276,167,1089.402595
308.456653,148,1090.523273
321.287941,138,1091.551157
356.305244,133,1092.659315
274.705192,161,1093.856697
382.493537,128,1094.831349
131.689956,172,1096.231505
309.189544,142,1097.304422
312.230616,139,1098.335517
277.28226,155,1099.474969
256.177353,154,1100.727488
206.929511,154,1101.88856
300.005406,148,1102.993542
359.843258,140,1104.15126
268.67491,156,1105.304609
305.259817,144,1106.396398
291.572513,146,1107.476104
375.32733,134,1108.605439
191.146381,167,1110.074387
237.915237,153,1111.207923
311.1593,147,1112.307132
194.384854,159,1113.494676
268.445969,157,1114.772051
295.87432,158,1115.964813
374.762447,140,1117.009982
386.62187,135,1118.153873
191.770358,161,1119.349257
300.122083,158,1120.533647
346.227716,151,1121.666439
198.863148,159,1122.981209
270.902671,154,1124.125932
263.156991,160,1125.316565
352.177464,143,1126.503832
285.005589,149,1127.847805
386.113672,139,1129.181238
277.528762,149,1130.641307
316.874214,153,1131.793661
373.131201,146,1132.880336
388.112148,144,1134.068865
358.105104,139,1135.265735
277.553095,159,1136.487398
376.664892,145,1137.616379
377.993377,142,1138.823842
271.044504,160,1140.025112
252.116302,161,1141.208062
176.209319,172,1143.310988
341.523512,142,1144.581617
387.354972,142,1145.652491
391.263321,137,1146.67426
203.066077,164,1147.891918
427.411322,138,1148.907551
298.753871,154,1150.060909
336.051863,139,1151.103196
285.316177,149,1152.213297
364.625255,140,1153.308725
309.895065,148,1154.411322
310.55063,141,1155.457072
295.990996,154,1156.633111
340.828467,149,1157.731574
283.536379,165,1158.957093
381.540177,135,1159.951919
270.11486,163,1161.161701
323.258601,140,1162.187114
187.139941,171,1163.456618
308.573945,150,1164.576361
365.815522,147,1165.66359
296.290591,153,1166.925505
290.193936,156,1168.086791
201.696542,162,1169.293996
392.914497,139,1170.326422
298.614956,164,1171.544688
341.17904,148,1172.650161
-102.46336,152,1173.779653
213.905212,171,1175.046675
-177.784481,163,1176.283023
188.920194,172,1177.571182
182.455174,166,1178.804669
259.249457,164,1180.020267
311.764824,148,1181.116227
351.820152,144,1182.205163
365.714484,145,1183.28509
313.195383,151,1184.405829
